sido_sgg,locatadd_nm,avg_area,avg_price
11680,서울특별시 강남구,84.58414339366516,2528.555010666581
11740,서울특별시 강동구,73.12738825487399,1385.578680038762
11305,서울특별시 강북구,60.269648313253015,874.4385503390695
11500,서울특별시 강서구,69.51921568965517,1095.2943356437493
11620,서울특별시 관악구,71.86247437185929,949.2628621099157
11215,서울특별시 광진구,80.65166741741741,1461.7238975713992
11530,서울특별시 구로구,69.26529631205675,913.1497679955905
11545,서울특별시 금천구,71.91669907063196,852.8860951479559
11350,서울특별시 노원구,62.778653666146646,970.1727807654181
11320,서울특별시 도봉구,67.16375642458101,778.4377777128233
11230,서울특별시 동대문구,68.65863424845573,1109.1587762174759
11590,서울특별시 동작구,76.10599608985025,1357.170297825628
11440,서울특별시 마포구,74.73690837370242,1565.5127433127304
11410,서울특별시 서대문구,74.96653296529969,1158.5256170798743
11650,서울특별시 서초구,92.10113261744966,2431.4896368651716
11200,서울특별시 성동구,77.75122211021505,1670.6399859496019
11290,서울특별시 성북구,73.03015209903121,1038.6018419797192
11710,서울특별시 송파구,80.99173937243184,1958.156853154973
11470,서울특별시 양천구,79.17994213554987,1459.6503748868624
11560,서울특별시 영등포구,72.32931864111498,1356.515882450013
11170,서울특별시 용산구,99.69086954887219,2049.6194563968274
11380,서울특별시 은평구,67.13933879641486,1073.699023019282
11110,서울특별시 종로구,75.84654247491639,1379.1973324807864
11140,서울특별시 중구,74.31623996175908,1286.8126155923114
11260,서울특별시 중랑구,65.75144713656387,898.0156626825667
